City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,30.22,80,100,10.36,overcast clouds
1,Harper,LR,4.375,-7.7169,78.6,77,33,8.99,scattered clouds
2,Panipat,IN,29.3889,76.9681,77.9,73,0,2.93,clear sky
3,Nuevo Progreso,MX,23.1667,-97.95,85.53,46,0,3.0,clear sky
4,Longyearbyen,SJ,78.2186,15.6401,39.04,93,100,3.44,fog
5,Ayan,RU,56.45,138.1667,35.96,57,0,14.16,clear sky
6,Mataura,NZ,-46.1927,168.8643,30.49,99,9,2.08,clear sky
7,Rikitea,PF,-23.1203,-134.9692,73.53,78,88,15.7,light rain
8,Jawhar,SO,2.7809,45.5005,76.68,75,21,14.7,few clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,75.16,96,95,5.99,overcast clouds
10,Lebu,CL,-37.6167,-73.65,56.82,76,100,13.51,overcast clouds
11,Mumford,GH,5.2618,-0.759,76.55,87,42,11.54,scattered clouds
12,Castro,BR,-24.7911,-50.0119,57.58,88,100,6.78,moderate rain
13,Hobart,AU,-42.8794,147.3294,40.05,89,1,10.36,clear sky
14,Vaini,TO,-21.2,-175.2,71.76,83,40,9.22,scattered clouds
15,Lata,PT,40.1629,-8.3327,66.92,62,74,5.21,broken clouds
16,George Town,MY,5.4112,100.3354,82.33,83,40,7.0,moderate rain
17,Punta Arenas,CL,-53.15,-70.9167,48.31,46,0,12.66,clear sky
18,Bluff,NZ,-46.6,168.3333,37.92,83,7,6.13,clear sky
19,Tazovskiy,RU,67.4667,78.7,30.83,83,89,8.43,overcast clouds
20,Airai,TL,-8.9266,125.4092,61.5,94,100,1.28,overcast clouds
21,Asekeyevo,RU,53.5742,52.7972,43.56,84,84,8.93,broken clouds
22,Oriximina,BR,-1.7656,-55.8661,94.87,36,39,7.07,scattered clouds
23,Rio Grande,BR,-32.035,-52.0986,68.11,86,100,11.81,overcast clouds
24,Sovetskiy,RU,61.3614,63.5842,26.85,71,12,5.12,few clouds
25,Saint George,US,37.1041,-113.5841,85.42,38,0,4.61,clear sky
26,Kavieng,PG,-2.5744,150.7967,81.1,75,84,9.1,light rain
27,Thompson,CA,55.7435,-97.8558,41.16,56,75,8.05,broken clouds
28,Geraldton,AU,-28.7667,114.6,55.81,94,6,5.75,clear sky
29,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,41,10.63,scattered clouds
30,Cape Town,ZA,-33.9258,18.4232,63.09,63,20,11.5,few clouds
31,Saskylakh,RU,71.9167,114.0833,21.99,94,91,4.12,overcast clouds
32,Busselton,AU,-33.65,115.3333,54.01,79,6,9.08,clear sky
33,Gornopravdinsk,RU,60.05,69.9,26.46,73,13,0.51,few clouds
34,Cidreira,BR,-30.1811,-50.2056,64.02,75,99,17.6,overcast clouds
35,Ous,RU,60.9058,61.5186,26.24,78,2,5.57,clear sky
36,Tasiilaq,GL,65.6145,-37.6368,42.96,75,100,4.79,overcast clouds
37,Carnarvon,AU,-24.8667,113.6333,68.95,68,0,17.45,clear sky
38,Hermanus,ZA,-34.4187,19.2345,58.8,84,66,10.4,broken clouds
39,Provideniya,RU,64.3833,-173.3,34.97,71,58,12.35,broken clouds
40,Aklavik,CA,68.2191,-135.0107,31.51,93,84,7.2,broken clouds
41,Petropavlovka,RU,50.6114,105.3196,34.43,90,100,3.87,light snow
42,Sao Filipe,CV,14.8961,-24.4956,79.81,86,50,6.89,scattered clouds
43,Nexo,DK,55.0607,15.1306,57.29,61,76,13.56,broken clouds
44,Bredasdorp,ZA,-34.5322,20.0403,54.36,88,81,5.95,broken clouds
45,Kaitangata,NZ,-46.2817,169.8464,33.39,94,11,4.07,few clouds
46,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,40,5.75,light rain
47,Sangar,RU,63.9242,127.4739,22.44,94,40,5.1,scattered clouds
48,Avarua,CK,-21.2078,-159.775,71.65,73,75,5.75,light rain
49,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,41,86,13.8,light rain
50,Tatarsk,RU,55.219,75.9828,28.63,80,69,7.16,broken clouds
51,Odweyne,SO,9.4092,45.064,80.02,43,86,5.97,overcast clouds
52,Dukat,RU,62.55,155.55,21.6,93,100,4.23,light snow
53,Nome,US,64.5011,-165.4064,30.27,86,0,6.91,clear sky
54,Kutum,SD,14.2,24.6667,84.72,19,3,5.5,clear sky
55,Alyangula,AU,-13.8483,136.4192,76.35,78,90,5.73,overcast clouds
56,Khatanga,RU,71.9667,102.5,28.76,95,100,11.5,overcast clouds
57,Port Elizabeth,ZA,-33.918,25.5701,67.1,96,75,11.5,broken clouds
58,Nelson Bay,AU,-32.7167,152.15,62.01,69,87,11.99,overcast clouds
59,Souillac,MU,-20.5167,57.5167,70.18,78,40,5.75,light rain
60,Butaritari,KI,3.0707,172.7902,80.92,78,86,15.88,light rain
61,Atuona,PF,-9.8,-139.0333,76.71,69,51,17.9,light rain
62,Changde,CN,29.0464,111.6783,86.92,54,25,1.39,scattered clouds
63,Kaka,TM,37.3482,59.6143,73.87,22,0,1.66,clear sky
64,Rio Gallegos,AR,-51.6226,-69.2181,55.45,26,0,12.66,clear sky
65,Pringsewu,ID,-5.3582,104.9744,73.31,96,37,0.89,scattered clouds
66,Bengkulu,ID,-3.8004,102.2655,75.74,92,52,3.24,broken clouds
67,Merauke,ID,-8.4667,140.3333,77.88,91,85,11.1,overcast clouds
68,Hami,CN,42.8,93.45,60.35,35,100,8.99,overcast clouds
69,Albany,US,42.6001,-73.9662,60.24,63,100,2.71,overcast clouds
70,Chizhou,CN,30.6578,117.4831,76.39,74,79,3.98,broken clouds
71,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.7,65,93,10.98,overcast clouds
72,Kapaa,US,22.0752,-159.319,74.1,90,75,5.75,light rain
73,Nikolskoye,RU,59.7035,30.7861,47.8,96,89,5.73,overcast clouds
74,Pozo Colorado,PY,-23.4923,-58.7972,71.19,62,99,2.3,overcast clouds
75,Prince Rupert,CA,54.3161,-130.3201,59.09,91,100,18.41,overcast clouds
76,Tukrah,LY,32.5341,20.5791,90.54,35,35,4.76,scattered clouds
77,Ushuaia,AR,-54.8,-68.3,47.86,43,0,16.11,clear sky
78,Dikson,RU,73.5069,80.5464,35.35,85,100,18.12,overcast clouds
79,Matamoros,MX,25.5333,-103.25,74.1,41,0,4.36,clear sky
80,Chumikan,RU,54.7183,135.315,34.56,71,73,7.94,broken clouds
81,Yumen,CN,40.2833,97.2,57.07,31,4,15.23,clear sky
82,Camacha,PT,33.0833,-16.3333,71.02,64,40,12.66,scattered clouds
83,Cayhagan,PH,9.6697,122.4256,78.03,82,92,4.52,overcast clouds
84,Fortuna,US,40.5982,-124.1573,72.93,68,0,1.99,clear sky
85,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,100,13.8,mist
86,San Francisco,US,37.7749,-122.4194,83.32,69,0,5.01,clear sky
87,Linqiong,CN,30.4159,103.4609,73.22,79,96,3.13,overcast clouds
88,Westport,US,41.1415,-73.3579,64.81,62,0,10.36,clear sky
89,Hithadhoo,MV,-0.6,73.0833,81.79,72,83,8.86,broken clouds
90,Khasan,RU,42.4308,130.6434,59.5,86,1,4.21,clear sky
91,Narsaq,GL,60.9167,-46.05,43.02,70,93,2.93,overcast clouds
92,San Andres,CO,12.5847,-81.7006,75.22,100,75,4.61,broken clouds
93,Yellowknife,CA,62.456,-114.3525,50.56,76,20,20.71,few clouds
94,Srednekolymsk,RU,67.45,153.6833,28.15,84,100,11.56,overcast clouds
95,Saldanha,ZA,-33.0117,17.9442,60.85,85,47,9.66,scattered clouds
96,Ustye,RU,59.6304,39.736,49.77,97,100,7.14,light rain
97,Jamestown,US,42.097,-79.2353,60.03,59,0,5.75,clear sky
98,Casablanca,MA,33.5928,-7.6192,71.82,64,40,11.5,scattered clouds
99,Mar Del Plata,AR,-38.0023,-57.5575,62.62,74,20,12.66,few clouds
100,Boyolangu,ID,-8.1181,111.8935,76.26,92,100,5.82,overcast clouds
101,Kirkenaer,NO,60.4564,12.0582,42.48,95,84,4.61,broken clouds
102,Victoria,HK,22.2855,114.1577,80.33,92,99,5.99,overcast clouds
103,Praya,CV,14.9215,-23.5087,86.54,79,40,18.41,scattered clouds
104,Burnie,AU,-41.0667,145.9167,44.92,76,71,6.44,broken clouds
105,Torbay,CA,47.6666,-52.7314,61.88,71,40,11.5,scattered clouds
106,La Rioja,ES,42.25,-2.5,53.38,90,94,2.19,overcast clouds
107,Ewa Beach,US,21.3156,-158.0072,81.01,80,40,3.44,light intensity drizzle
108,Te Anau,NZ,-45.4167,167.7167,31.51,96,25,1.3,scattered clouds
109,Tilichiki,RU,60.4667,166.1,34.07,98,100,5.77,light snow
110,Kavaratti,IN,10.5669,72.642,81.3,77,96,11.9,overcast clouds
111,Iqaluit,CA,63.7506,-68.5145,35.33,87,100,5.75,light rain and snow
112,Georgetown,MY,5.4112,100.3354,82.33,83,40,7.0,moderate rain
113,Qaanaaq,GL,77.484,-69.3632,19.9,68,93,11.63,overcast clouds
114,Lagoa,PT,39.05,-27.9833,68.34,65,3,3.85,clear sky
115,Pasni,PK,25.2631,63.471,79.59,79,0,12.06,clear sky
116,Port Alfred,ZA,-33.5906,26.891,67.17,90,100,5.99,overcast clouds
117,Roma,US,43.2128,-75.4557,60.73,58,0,1.01,clear sky
118,Kodiak,US,57.79,-152.4072,35.11,87,0,5.75,clear sky
119,Luderitz,NA,-26.6481,15.1594,60.15,67,60,19.08,broken clouds
120,Ancud,CL,-41.8697,-73.8203,52.66,80,68,3.29,broken clouds
121,Tabou,CI,4.423,-7.3528,78.22,79,26,9.22,scattered clouds
122,Fairbanks,US,64.8378,-147.7164,45.3,89,100,0.0,overcast clouds
123,Deputatskiy,RU,69.3,139.9,7.83,97,98,1.99,overcast clouds
124,Vila Velha,BR,-20.3297,-40.2925,75.15,77,75,13.8,broken clouds
125,Adrar,MR,20.5022,-10.0711,88.99,20,0,15.55,clear sky
126,San Cristobal,VE,7.7669,-72.225,75.38,47,99,5.28,overcast clouds
127,Combita,CO,5.6333,-73.3167,59.97,76,82,4.36,broken clouds
128,Saint Albans,GB,51.75,-0.3333,55.4,93,100,14.97,light rain
129,Troitskoye,RU,52.9821,84.6757,30.34,96,100,7.23,overcast clouds
130,Tiksi,RU,71.6872,128.8694,13.86,95,73,7.05,broken clouds
131,Hasaki,JP,35.7333,140.8333,68.4,79,35,11.79,scattered clouds
132,Castro Verde,PT,37.6983,-8.0858,72.82,29,41,7.16,scattered clouds
133,Hilo,US,19.7297,-155.09,81.28,88,20,1.01,few clouds
134,Labuhan,ID,-6.8844,112.2051,78.55,84,64,7.23,broken clouds
135,Pevek,RU,69.7008,170.3133,29.14,80,100,5.84,light snow
136,Tanete,ID,-3.9443,119.7848,74.34,95,96,2.33,overcast clouds
137,Fort Nelson,CA,58.8053,-122.7002,45.99,81,20,3.44,few clouds
138,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,60,75,10.36,broken clouds
139,Kloulklubed,PW,7.0419,134.2556,75.7,74,31,7.76,scattered clouds
140,Koscierzyna,PL,54.1223,17.9812,51.51,58,90,5.03,overcast clouds
141,Chuy,UY,-33.6971,-53.4616,60.08,68,95,7.58,moderate rain
142,Cerrito,CO,6.8432,-72.694,61.36,78,99,3.69,overcast clouds
143,Pokhara,NP,28.2333,83.9833,68.13,77,16,6.35,few clouds
144,Humberto De Campos,BR,-2.5983,-43.4611,89.01,51,49,12.84,scattered clouds
145,Kodinsk,RU,58.6881,99.1844,25.11,77,100,3.33,overcast clouds
146,Chokurdakh,RU,70.6333,147.9167,19.67,88,75,4.88,broken clouds
147,Manyana,BW,-23.4,21.7167,78.94,18,0,7.74,clear sky
148,Samarai,PG,-10.6167,150.6667,80.38,79,10,8.12,clear sky
149,Berlevag,NO,70.8578,29.0864,41.0,75,0,10.36,clear sky
150,Gizo,SB,-8.103,156.8419,81.01,77,4,5.41,clear sky
151,Truth Or Consequences,US,33.1284,-107.2528,76.91,28,0,0.0,clear sky
152,Vaitape,PF,-16.5167,-151.75,77.49,72,0,11.12,clear sky
153,Coihaique,CL,-45.5752,-72.0662,57.15,41,20,9.22,few clouds
154,Touros,BR,-5.1989,-35.4608,83.17,56,75,18.05,broken clouds
155,Karratha,AU,-20.7377,116.8463,70.92,73,0,8.66,clear sky
156,Pokosnoye,RU,55.5258,101.0536,29.17,93,99,10.13,overcast clouds
157,Pandan,PH,14.0453,124.1694,79.95,83,10,6.46,clear sky
158,Port Hedland,AU,-20.3167,118.5667,69.85,83,75,8.05,broken clouds
159,Nara,JP,34.6851,135.8049,68.5,57,0,2.51,clear sky
160,Coquimbo,CL,-29.9533,-71.3436,58.73,77,75,12.66,broken clouds
161,Cabo San Lucas,MX,22.8909,-109.9124,93.61,64,0,3.31,clear sky
162,San Patricio,US,28.017,-97.5169,87.75,41,0,5.91,clear sky
163,Norman Wells,CA,65.282,-126.8329,46.44,81,75,0.0,broken clouds
164,Saint-Joseph,RE,-21.3667,55.6167,68.38,80,23,11.25,few clouds
165,Taoudenni,ML,22.6783,-3.9836,94.12,11,0,15.77,clear sky
166,Bethel,US,41.3712,-73.414,63.01,67,40,10.36,scattered clouds
167,Birjand,IR,32.8663,59.2211,68.05,27,0,14.99,clear sky
168,Michigan City,US,41.7075,-86.895,64.9,56,0,6.91,clear sky
169,Cherskiy,RU,68.75,161.3,28.33,77,100,2.95,overcast clouds
170,Jiazi,CN,22.8779,116.067,77.85,90,94,6.89,overcast clouds
171,High Level,CA,58.5169,-117.136,50.11,87,40,10.36,scattered clouds
172,Jalu,LY,29.0331,21.5482,94.66,17,0,10.78,clear sky
173,Salalah,OM,17.0151,54.0924,80.69,89,75,4.61,broken clouds
174,Mahebourg,MU,-20.4081,57.7,70.09,78,40,5.75,scattered clouds
175,Mogzon,RU,51.7435,111.9606,37.69,89,100,3.98,overcast clouds
176,Buala,SB,-8.145,159.5921,79.7,83,21,7.67,light rain
177,Riisipere,EE,59.1142,24.3106,49.55,89,40,8.05,scattered clouds
178,Laguna,US,38.421,-121.4238,84.29,50,0,4.61,clear sky
179,Ciechanow,PL,52.8814,20.62,53.42,70,100,3.6,overcast clouds
180,Killarney,IE,52.05,-9.5167,57.25,82,40,14.97,scattered clouds
181,West Bay,KY,19.3667,-81.4167,87.87,62,20,9.22,few clouds
182,Kanodar,IN,24.1,72.3833,79.14,60,3,4.7,clear sky
183,Heyang,CN,26.1011,107.473,65.7,97,61,3.15,broken clouds
184,Sept-Iles,CA,50.2001,-66.3821,55.4,66,75,11.5,broken clouds
185,Sola,VU,-13.8833,167.55,80.2,67,82,5.28,broken clouds
186,Mitsamiouli,KM,-11.3847,43.2844,75.63,74,41,2.8,scattered clouds
187,Monterey,US,36.2505,-121.2516,79.18,34,0,3.0,clear sky
188,Lompoc,US,34.6391,-120.4579,61.21,100,100,0.0,mist
189,Menongue,AO,-14.6585,17.691,79.66,23,74,3.29,broken clouds
190,Wanning,CN,18.8003,110.3967,78.85,91,98,8.48,overcast clouds
191,East London,ZA,-33.0153,27.9116,67.14,82,0,13.8,clear sky
192,Mehamn,NO,71.0357,27.8492,40.95,65,0,10.36,clear sky
193,Qaqortoq,GL,60.7167,-46.0333,39.76,70,83,6.22,broken clouds
194,Constitucion,CL,-35.3333,-72.4167,61.3,72,91,8.79,overcast clouds
195,Upernavik,GL,72.7868,-56.1549,22.42,77,67,4.72,broken clouds
196,Torata,PE,-17.0769,-70.8433,68.76,18,5,11.92,clear sky
197,Yulara,AU,-25.2406,130.9889,67.6,30,100,11.25,light rain
198,Esperance,AU,-33.8667,121.9,50.11,86,39,10.51,scattered clouds
199,Bonfim,BR,3.0833,-59.95,91.85,46,47,5.77,scattered clouds
200,Ewo,CG,-0.8725,14.8206,73.15,91,88,4.68,moderate rain
201,Antanifotsy,MG,-19.65,47.3167,52.83,70,0,1.81,clear sky
202,Butajira,ET,8.1167,38.3667,58.55,88,90,2.48,light rain
203,Noumea,NC,-22.2763,166.4572,67.98,85,97,8.77,overcast clouds
204,Praia,CV,14.9215,-23.5087,86.54,79,40,18.41,scattered clouds
205,Clyde River,CA,70.4692,-68.5914,28.63,93,100,21.85,light snow
206,Surat Thani,TH,9.1667,99.25,81.21,100,89,9.13,light rain
207,Hovd,MN,48.0056,91.6419,26.24,31,0,3.6,clear sky
208,Ola,RU,59.5833,151.2833,32.88,64,3,10.33,clear sky
209,Itarema,BR,-2.9248,-39.9167,85.26,59,16,18.19,few clouds
210,Monrovia,LR,6.3005,-10.7969,80.37,86,78,7.54,light rain
211,Mangla,PK,31.8931,72.3817,83.3,41,0,7.74,clear sky
212,Jackson,US,42.4165,-122.8345,63.91,56,7,1.01,clear sky
213,Iracoubo,GF,5.4802,-53.2011,85.14,66,15,14.58,few clouds
214,Najran,SA,17.4924,44.1277,79.45,15,30,2.33,scattered clouds
215,Katsuura,JP,35.1333,140.3,72.1,84,47,12.24,scattered clouds
216,Beringovskiy,RU,63.05,179.3167,39.92,82,100,23.44,overcast clouds
217,Samarinda,ID,-0.5,117.15,75.0,98,46,1.86,scattered clouds
218,Ribeira Grande,PT,38.5167,-28.7,73.8,56,40,6.91,scattered clouds
219,Lazaro Cardenas,MX,17.9583,-102.2,85.08,70,53,3.83,broken clouds
220,Ponta Do Sol,PT,32.6667,-17.1,74.71,83,87,3.38,overcast clouds
221,Necochea,AR,-38.5473,-58.7368,65.89,43,38,7.92,scattered clouds
222,Udachnyy,RU,66.4167,112.4,16.0,97,98,4.25,overcast clouds
223,Aswan,EG,24.0934,32.907,101.5,10,0,4.61,clear sky
224,Leshukonskoye,RU,64.8989,45.7622,37.96,97,100,8.46,overcast clouds
